-0.0128174	0.000128174	
-0.00305176	0.000158691	
0.00915527	0.000250244	
-0.000610352	0.000256348	
-0.00244141	0.000280762	
-0.0109863	0.000390625	
0.00793457	0.000469971	
0.0115967	0.000585937	
-0.0128174	0.000714111	
-0.0189209	0.00090332	
0.00610352	0.000964355	
0.00305176	0.000994873	
0.00671387	0.00106201	
0.000610352	0.00106812	
-0.000610352	0.00107422	
-0.0134277	0.0012085	
-0.0012207	0.0012207	
-0.00793457	0.00130005	
-0.0012207	0.00131226	
0.00427246	0.00135498	
-0.0012207	0.00136719	
-0.00366211	0.00140381	
-0.00366211	0.00144043	
-0.00549316	0.00149536	
0.00244141	0.00151978	
0.0262451	0.00178223	
0.0396729	0.00217896	
0.0317383	0.00249634	
0.00793457	0.00257568	
-0.0146484	0.00272217	
0.000610352	0.00272827	
0.0244141	0.00297241	
0.0164795	0.00313721	
-0.0115967	0.00325317	
-0.0146484	0.00339966	
-0.0238037	0.0036377	
-0.0195313	0.00383301	
-0.0170898	0.00400391	
-0.00427246	0.00404663	
-0.00610352	0.00410767	
0.00427246	0.00415039	
0.00610352	0.00421143	
0.010376	0.00431519	
0.0115967	0.00443115	
0.0238037	0.00466919	
0.0366211	0.0050354	
-0.0012207	0.00504761	
-0.00427246	0.00509033	
-0.0158691	0.00524902	
0.0256348	0.00550537	
0.0238037	0.00574341	
-0.00854492	0.00582886	
-0.0354004	0.00618286	
-0.020752	0.00639038	
-0.0115967	0.00650635	
-0.0115967	0.00662231	
-0.010376	0.00672607	
-0.00976563	0.00682373	
-0.0128174	0.0069519	
0.000610352	0.00695801	
0.0012207	0.00697021	
0.00732422	0.00704346	
0	0.00704346	
-0.00488281	0.00709229	
0.010376	0.00719604	
0.0115967	0.00731201	
0.0109863	0.00742187	
-0.00244141	0.00744629	
0.00671387	0.00751343	
0.00671387	0.00758057	
-0.000610352	0.00758667	
0.00305176	0.00761719	
0.00793457	0.00769653	
0.00244141	0.00772095	
0.000610352	0.00772705	
-0.0012207	0.00773926	
-0.00366211	0.00777588	
-0.000610352	0.00778198	
0.00183105	0.00780029	
0.00732422	0.00787354	
0.00915527	0.00796509	
0.00488281	0.00801392	
